app_id,label_flag,label_flag_type,privacy_flag,privacy_flag_type,if_equal
com.subsplashconsulting.s_CH2VG7,1,,1,,
com.watchfacestudio.df038,1,,1,,
com.kahunas.io.LisaWatsonFitness,1,,1,,
com.skyraan.shortstoriesinenglish,1,,1,,
com.zhenkolist.clay_bead_bracelet_ideas,1,,1,,
audio.volume.bass.booster.equalizer,1,,1,,
com.zoho.sign.zohosign,1,,1,,
pp.mblex,1,,1,,
com.etisalat.arenapro,1,,1,,
dev.SellAnnuityPayment.PalestineFlagLiveWallpaper,1,,1,,
com.heliogames.amikin.survival,1,,1,,
com.mibo.CastleCrush,1,,1,,
com.rvappstudios.jigsaw.puzzles.picture.block.games,1,,1,,
babytracker.nursing_feeding.sleep_diaper,1,,1,,
com.lw.nextgeneartion4.launcher,1,,1,,
com.apps.clock.theclock,1,,1,,
com.help.me.please,1,,1,,
com.songs_Raiman.ronmn_mesrih_egbet_nmvio,1,,1,,
air.com.readysquare.testypi,1,,1,,
com.eduven.cc.cvdDiet,1,,1,,
com.lyft.android.austinapp,1,,1,,
com.schoolpointe.ky_brackencntyschs,1,,1,,
com.iontaxi.mobile,1,,1,,
uk.co.condenast.house,1,,1,,
com.girls.photo.puzzles.game.girls,1,,1,,
com.shape.change,1,,1,,
watch.richface.androidwear.ferrum,1,,1,,
com.seagroup.seatalk,1,,1,,
com.watchfacestudio.samwatch_simple_xi_2024,1,,1,,
com.tabtale.newbaby,1,,1,,
wear.watchfaces.rosegoldboldwatchface,1,,1,,
com.watchfacestudio.PS313,1,,1,,
com.extremedevelopers.tanksvsrobots,1,,1,,
com.watchfacestudio.digi_didzzy,1,,1,,
com.powerplaymanager.tennismania,1,,1,,
com.YovoGames.carWash11,1,,1,,
com.playdatedigital.lightscamerasaction,1,,1,,
com.smokoko.careatscar5,1,,1,,
com.devgame.blue.tractor.game.kids.educational,1,,1,,
nl.leidschendamvoorburg.werkindewijk,1,,1,,
com.ayjapps.simpleface,1,,1,,
com.donutgames.actiondriver,1,,1,,
com.bykea.pk.partner,1,,1,,
com.hltcorp.ase2,1,,1,,
com.megagenius.kengthai,1,,1,,
at.nerbrothers.SuperJump,1,,1,,
com.choicely.missuniverse,1,,1,,
com.IceTeaStudio.HotBalloon,1,,1,,
net.cleverbit.SaveAnimalsFree,1,,1,,
com.intensity.app,1,,1,,
com.ocv.placercountysheriffca,1,,1,,
com.lge.media.launcher,1,,1,,
com.lockscreen.nowbar.wallpaper.oneui,1,,1,,
com.games2win.drivingacademy2,1,,1,,
com.Graypow.TurboTornado,1,,1,,
ua.krou.remembery,1,,1,,
com.millecrepestudios.poolfoodcarnival,1,,1,,
com.jakyl.spirithd,1,,1,,
com.gatsensoft.everyradio,1,,1,,
com.gulftalent.android.mobile,1,,1,,
com.lw.hitech.uniquelauncher2,1,,1,,
com.actiontourguide.cuyahoga,1,,1,,
com.sainton.so876,1,,1,,
com.avast.android.mobilesecurity,1,,1,,
air.com.flipline.papasmochariatogo,1,,1,,
com.geda.pickmeup,1,,1,,
com.mobeasyapp.app1330116278257,1,,1,,
com.prettysimple.cityofromanceandroid,1,,1,,
su.esoft.mechlands,1,,1,,
com.fgcos.crypto_crosswords_ru_kripto_krossvordu,1,,1,,
com.smoothie.diy.drink,1,,1,,
com.recreative.recreative62,1,,1,,
cs14.pixelperfect.iconpack.veraoutlinewhite,1,,1,,
com.kindercare.classroom,1,,1,,
com.microsoft.ignite.twa,1,,1,,
com.ElMaHeGames.NearEscape,1,,1,,
se.itatake.restinpieces,1,,1,,
com.supermagic.aos.slotspire,1,,1,,
com.mileoDev.geography,1,,1,,
com.mulheresderocha.mobile,1,,1,,
com.godlike.yahtzee,1,,1,,
com.watchfacestudio.windigitalblack,1,,1,,
com.payoneer.android,1,,1,,
com.yc.onet,1,,1,,
com.spcomes.wnbbw,1,,1,,
com.edmingle.junioradvocatestrainingacademyjata,1,,1,,
com.spyke.tilebusters,1,,1,,
com.vidangel.drybarcomedy,1,,1,,
